Motif,Target,Constr,Result,Time (Sec.),N_Rival,Rivals
((*).(*)(...(*))),((...).(...)(...(...))),((...)?(...)????(...)?),undesignable,0.0028,1,['((*).(*)....(*).)']
((...(..(*)))),((...(..(...)))),(???????(...)??),undesignable,0.0874,1,['((......(*).))']
((...((*)(*)))),((...((...)(...)))),(?????(...)(...)??),undesignable,0.0146,1,['((....(*)(*).))']
(.(*)..(..(*))),(.(...)..(..(...))),(?(...)?????(...)?),undesignable,0.0017,1,['(.(*).....(*).)']
(((*)..)...),(((...)..)...),(?(...)??????),undesignable,0.0015,1,['(.(*)......)']
((.((*).))..(*)),((.((...).))..(...)),(???(...)?????(...)),undesignable,0.0082,1,['(...(*).....(*))']
((*)(((*).(*))).),((...)(((...).(...))).),((...)??(...)?(...)???),undesignable,0.0122,1,['((*)..(*).(*)...)']
((.(...))((*))),((.(...))((...))),(?????????(...)?),undesignable,0.3181,1,['(........((*)))']
(.((...).)),(.((...).)),(?????????),undesignable,0.0176,1,['(.........)']
(....((*)...).),(....((...)...).),(?????(...)?????),undesignable,0.0196,1,['(.....(*).....)']
((.(.....)(*))),((.(.....)(...))),(?????????(...)?),undesignable,0.3076,1,['((........(*)))']
(((....)(*).).),(((....)(...).).),(???????(...)???),undesignable,1.8198,1,['(.......(*)...)']
(..(...).(*).),(..(...).(...).),(????????(...)?),undesignable,1.182,1,['(........(*).)']
(..((...)...)),(..((...)...)),(????????????),undesignable,0.0178,1,['(............)']
(.(*)(....).(*)),(.(...)(....).(...)),(?(...)???????(...)),undesignable,0.0151,1,['(.(*).......(*))']
(((*).(*))....),(((...).(...))....),(?(...)?(...)?????),undesignable,0.0022,1,['(.(*).(*).....)']
(..(...((*).))),(..(...((...).))),(???????(...)???),undesignable,0.0075,1,['(.......(*)...)']
(..((*)(*)..)(*)),(..((...)(...)..)(...)),(???(...)(...)???(...)),undesignable,0.0017,1,['(...(*)(*)...(*))']
((.(*)(*))((*)).),((.(...)(...))((...)).),(??(...)(...)??(...)??),undesignable,0.0491,1,['(..(*)(*)..(*)..)']
((*).(...)...),((...).(...)...),((...)?????????),undesignable,0.3093,1,['((*).........)']
((..((*)))(*)..),((..((...)))(...)..),(????(...)??(...)??),undesignable,0.0202,1,['(...((*)).(*)..)']
(.((.....)..)),(.((.....)..)),(????????????),undesignable,0.0047,1,['(............)']
(.((..((*).)))),(.((..((...).)))),(??????(...)????),undesignable,0.5731,1,['(.((...(*)..)))']
((*)(......)),((...)(......)),((...)????????),undesignable,0.3023,1,['((*)........)']
((*)(((*).)(*))),((...)(((...).)(...))),((...)??(...)??(...)?),undesignable,0.0695,1,['((*)..(*)..(*).)']
((...)(....).),((...)(....).),(????????????),undesignable,4.6509,1,['(............)']
((*)(.......).),((...)(.......).),((...)??????????),undesignable,0.0049,1,['((*)..........)']
((.......)..),((.......)..),(???????????),undesignable,0.0013,1,['(...........)']
((((*).).)..(*)),((((...).).)..(...)),(??(...)??????(...)),undesignable,0.0082,1,['(..(*)......(*))']
((...(...)).),((...(...)).),(???????????),undesignable,0.0186,1,['(...........)']
(((..(*)).(*).)),(((..(...)).(...).)),(????(...)??(...)??),undesignable,0.2768,1,['((...(*)..(*).))']
((...)(...)..),((...)(...)..),(????????????),undesignable,4.6902,1,['(............)']
((...(...(*)))),((...(...(...)))),(????????(...)??),undesignable,0.0746,1,['((.......(*).))']
((*)..(.(*)(*)).),((...)..(.(...)(...)).),((...)????(...)(...)??),undesignable,0.0013,1,['((*)....(*)(*)..)']
((...(*)(...))),((...(...)(...))),(????(...)??????),undesignable,0.4799,1,['(....(*)......)']
((....(*).).),((....(...).).),(?????(...)???),undesignable,0.0185,1,['(.....(*)...)']
((.(...)..)),((.(...)..)),(??????????),undesignable,2.2729,1,['((........))']
(((.(....)).)),(((.(....)).)),(????????????),undesignable,5.492,12,"['(............)', '(((.(....).)))', '((.((....)).))', '((..(....)..))', '((((.....)).))', '(((.......).))', '(((.((...)))))', '((..((....))))', '((..........))', '(((........)))', '((..((...)).))', '(((......))..)']"
(.(*)((*)(*)).),(.(...)((...)(...)).),(?(...)?(...)(...)??),undesignable,0.0102,1,['(.(*).(*)(*)..)']
((.(...)....)),((.(...)....)),(????????????),undesignable,0.2846,1,['(............)']
(.....(...)(*)),(.....(...)(...)),(??????????(...)),undesignable,0.0787,1,['(..........(*))']
(((*).)(....)),(((...).)(....)),(?(...)????????),undesignable,0.4991,1,['(((*).)......)']
(.(..(...)(*))),(.(..(...)(...))),(?????????(...)?),undesignable,1.8818,1,['(.........(*).)']
(((*)(*)...)..),(((...)(...)...)..),(?(...)(...)??????),undesignable,0.0018,1,['(.(*)(*)......)']
((((*)...)...)),((((...)...)...)),(??(...)????????),undesignable,0.0747,1,['((.(*).......))']
(.(*).(((*).).)),(.(...).(((...).).)),(?(...)???(...)????),undesignable,0.0084,1,['(.(*)...(*)....)']
(....(.(...))),(....(.(...))),(????????????),undesignable,0.0185,1,['(............)']
(...(((*))..).),(...(((...))..).),(?????(...)?????),undesignable,0.1812,1,['(....((*))....)']
(.((*).(*).)...),(.((...).(...).)...),(??(...)?(...)?????),undesignable,0.0205,1,['(..(*).(*).....)']
(.(*)((*)..)...),(.(...)((...)..)...),(?(...)?(...)??????),undesignable,0.0016,1,['(.(*).(*)......)']
(((.....)(*)).),(((.....)(...)).),(????????(...)??),undesignable,0.028,1,['(........(*)..)']
(....(((*)).).),(....(((...)).).),(??????(...)????),undesignable,0.803,1,['(.....((*))...)']
(.(...)..),(.(...)..),(????????),undesignable,0.0463,1,['(........)']
(.((*)((...)))),(.((...)((...)))),(??(...)????????),undesignable,14.3606,5,"['(..(*)........)', '((((*)))......)', '((((*))......))', '((((*)......)))', '(.((*)).......)']"
(((....)(*))),(((....)(...))),(???????(...)?),undesignable,0.5841,1,['((......(*)))']
(((*)((*)))...),(((...)((...)))...),(?(...)?(...)?????),undesignable,0.0652,1,['(.(*)((*))....)']
((.(*).(*))(*)..),((.(...).(...))(...)..),(??(...)?(...)?(...)??),undesignable,0.0028,1,['(..(*).(*).(*)..)']
((*)(........)),((...)(........)),((...)??????????),undesignable,0.0015,1,['((*)..........)']
(..(..(...)).),(..(..(...)).),(????????????),undesignable,0.2828,1,['(............)']
(..((...)(*))),(..((...)(...))),(????????(...)?),undesignable,0.1127,1,['(........(*).)']
(.(....)(...)),(.(....)(...)),(????????????),undesignable,4.644,1,['(............)']
((((*)).(*))..),((((...)).(...))..),(??(...)??(...)???),undesignable,0.387,1,['(.((*)).(*)...)']
((...)..(*)(*)),((...)..(...)(...)),(???????(...)(...)),undesignable,0.0038,1,['(.......(*)(*))']
((..((*)..))),((..((...)..))),(????(...)????),undesignable,0.0066,1,['((...(*)...))']
((((*)...)(*).)),((((...)...)(...).)),(??(...)????(...)??),undesignable,0.2818,1,['((.(*)....(*).))']
(...(..(.(*)))),(...(..(.(...)))),(????????(...)??),undesignable,0.0073,1,['(........(*)..)']
(.......(...)),(.......(...)),(????????????),undesignable,0.0033,1,['(............)']
((((*).).).(*)),((((...).).).(...)),(??(...)?????(...)),undesignable,0.0083,1,['(..(*).....(*))']
((.((*)..))(*).),((.((...)..))(...).),(???(...)????(...)?),undesignable,0.0124,1,['(...(*)....(*).)']
((*)(..((*)..))),((...)(..((...)..))),((...)????(...)????),undesignable,0.0125,1,['((*)....(*)....)']
(((*)((...).))),(((...)((...).))),(?(...)?????????),undesignable,0.3303,1,['(((*)........))']
(((.((*)))(*)).),(((.((...)))(...)).),(????(...)??(...)??),undesignable,2.6345,17,"['(....(*)..(*)..)', '(((.((*)))(*).))', '((.(((*)))(*)).)', '((..((*)).(*)).)', '(.(.((*)))(*)..)', '((((((*)))(*))))', '(((.((*)).(*))))', '((.(((*)))(*).))', '((..((*))((*))))', '((..((*)).(*).))', '(.((((*)))(*)).)', '(.((((*)).(*))))', '(.(.((*))((*))))', '(.(.((*)).(*)).)', '(.(.((*)).(*).))', '(..(((*)))(*)..)', '(...((*))((*)).)']"
(..(...(*)(*).)),(..(...(...)(...).)),(??????(...)(...)??),undesignable,0.0012,1,['(......(*)(*)..)']
(..(...).((*))),(..(...).((...))),(?????????(...)?),undesignable,5.3163,1,['(........((*)))']
(((*)..)..((*))),(((...)..)..((...))),(?(...)??????(...)?),undesignable,0.7932,1,['(.(*).....((*)))']
(.(.(*)(*).).(*)),(.(.(...)(...).).(...)),(???(...)(...)???(...)),undesignable,0.0011,1,['(...(*)(*)...(*))']
(.((*).).(...)),(.((...).).(...)),(??(...)????????),undesignable,1.8635,1,['(..(*)........)']
(.((...).)(*).),(.((...).)(...).),(?????????(...)?),undesignable,0.4592,1,['(.........(*).)']
((*)((*)....).),((...)((...)....).),((...)?(...)??????),undesignable,0.0016,1,['((*).(*)......)']
(..(.(((*)).))),(..(.(((...)).))),(??????(...)????),undesignable,0.2301,1,['(.....((*))...)']
((.((...).))),((.((...).))),(???????????),undesignable,0.2415,1,['((.(......)))']
(((*)...)(.(*))),(((...)...)(.(...))),(?(...)??????(...)?),undesignable,0.046,1,['(.(*)......(*).)']
(((*)(*).(...))),(((...)(...).(...))),(?(...)(...)???????),undesignable,0.5422,1,['(((*)(*)......))']
((*)(...).),((...)(...).),((...)??????),undesignable,0.0192,1,['((*)......)']
((...).(...)),((...).(...)),(???????????),undesignable,1.1335,1,['(...........)']
(..(.(...))),(..(.(...))),(??????????),undesignable,0.018,1,['(..........)']
((*)(....)..),((...)(....)..),((...)????????),undesignable,0.3027,1,['((*)........)']
((.....)(*)...),((.....)(...)...),(???????(...)???),undesignable,0.0187,1,['(.......(*)...)']
(((..(*)).)(*)),(((..(...)).)(...)),(????(...)???(...)),undesignable,0.0118,1,['(....(*)...(*))']
(((*))(...).(*)),(((...))(...).(...)),(?(...)???????(...)),undesignable,0.5302,1,['(((*))......(*))']
(.(...)(.(*))),(.(...)(.(...))),(????????(...)?),undesignable,0.452,1,['(........(*).)']
(...((*)...)..),(...((...)...)..),(????(...)??????),undesignable,0.0751,1,['(....(*)......)']
(.((*)..)(*)(*)),(.((...)..)(...)(...)),(??(...)???(...)(...)),undesignable,0.0018,1,['(..(*)...(*)(*))']
(.(*)(((*).).)),(.(...)(((...).).)),(?(...)??(...)????),undesignable,0.0118,1,['(.(*)..(*)....)']
((...((*).).).),((...((...).).).),(?????(...)?????),undesignable,0.4673,1,['(.....(*).....)']
(..(....)),(..(....)),(????????),undesignable,0.0115,1,['(........)']
(.(*)((...)..)),(.(...)((...)..)),(?(...)?????????),undesignable,0.1162,1,['(.(*).........)']
(((*).((*).(*)))),(((...).((...).(...)))),(?(...)??(...)?(...)??),undesignable,0.0693,1,['(.(*)..(*).(*)..)']
(.(.(...))),(.(.(...))),(?????????),undesignable,0.0179,1,['(.........)']
(...((*)..)(*).),(...((...)..)(...).),(????(...)???(...)?),undesignable,0.0016,1,['(....(*)...(*).)']
(((.(*)).)((*))),(((.(...)).)((...))),(???(...)????(...)?),undesignable,0.7846,8,"['(...(*)....(*).)', '(((((*))))((*)))', '(((.(*).))((*)))', '((..(*)..)((*)))', '(((.(*))).((*)))', '(.(.(*))..((*)))', '(((.(*))...(*)))', '(...(*)...((*)))']"
((((*))..).(*)),((((...))..).(...)),(??(...)?????(...)),undesignable,0.0145,1,['(.((*))....(*))']
((((*)((*))))(*)),((((...)((...))))(...)),(??(...)?(...)???(...)),undesignable,0.8151,1,['(..(*)((*))..(*))']
((....(*))....),((....(...))....),(?????(...)?????),undesignable,0.0015,1,['(.....(*).....)']
(((*))...(...)),(((...))...(...)),(?(...)?????????),undesignable,1.0805,1,['(((*))........)']
(...((*)....)),(...((...)....)),(????(...)?????),undesignable,0.0015,1,['(....(*).....)']
((..(...))...),((..(...))...),(????????????),undesignable,0.0181,1,['(............)']
((.(....))..),((.(....))..),(???????????),undesignable,0.0722,1,['(..(....)...)']
(...(.(...)).),(...(.(...)).),(????????????),undesignable,0.2763,1,['(............)']
((..(.(*)))...),((..(.(...)))...),(?????(...)?????),undesignable,0.0138,1,['(.....(*).....)']
((.((*)))..),((.((...)))..),(???(...)????),undesignable,0.0478,1,['(..((*))...)']
((...)(*)(...)),((...)(...)(...)),(?????(...)?????),undesignable,1.9169,1,['(.....(*).....)']
((...)((...))),((...)((...))),(????????????),undesignable,1.8229,1,['(............)']
(...(*).(...).),(...(...).(...).),(???(...)???????),undesignable,1.2359,1,['(...(*).......)']
(....(.....).),(....(.....).),(????????????),undesignable,0.0114,1,['(............)']
(.((...)..)),(.((...)..)),(??????????),undesignable,0.0176,1,['(..........)']
(((*))..((*)(*))),(((...))..((...)(...))),(?(...)????(...)(...)?),undesignable,0.2936,1,['(.(*)....(*)(*).)']
(((*)(...)(*)).),(((...)(...)(...)).),(?(...)?????(...)??),undesignable,0.7352,1,['(.(*).....(*)..)']
((..((...))).),((..((...))).),(????????????),undesignable,0.2007,1,['(...((...))..)']
(..(...)(*)),(..(...)(...)),(???????(...)),undesignable,0.0737,1,['(.......(*))']
((.(...))(*).),((.(...))(...).),(????????(...)?),undesignable,0.1134,1,['(........(*).)']
((..(....))..),((..(....))..),(????????????),undesignable,0.0723,1,['(............)']
(.(.(...))..),(.(.(...))..),(???????????),undesignable,0.28,1,['(...........)']
(((...).)),(((...).)),(????????),undesignable,0.0585,1,['((......))']
((.(...)).),((.(...)).),(?????????),undesignable,0.0177,1,['(.........)']
(.((*)(.(*)..))),(.((...)(.(...)..))),(??(...)??(...)????),undesignable,12.8583,5,"['(..(*)..(*)....)', '((((*)))(*)....)', '((((*)).(*)...))', '(.((*)).(*)....)', '(.((*)..(*)..).)']"
((((*))(*))((*))),((((...))(...))((...))),(??(...)?(...)??(...)?),undesignable,0.8819,1,['(.((*))(*).((*)))']
(...(....(*))),(...(....(...))),(????????(...)?),undesignable,0.0015,1,['(........(*).)']
(((.....)..).),(((.....)..).),(????????????),undesignable,0.0048,1,['(............)']
(.((*)(...).).),(.((...)(...).).),(??(...)????????),undesignable,1.8532,1,['(..(*)........)']
(.(*)(..(*)).),(.(...)(..(...)).),(?(...)???(...)??),undesignable,0.0015,1,['(.(*)...(*)..)']
(...(((*).).).),(...(((...).).).),(?????(...)?????),undesignable,0.1172,1,['(.....(*).....)']
((.(*).(*).)..),((.(...).(...).)..),(??(...)?(...)????),undesignable,0.0012,1,['(..(*).(*)....)']
(((*)(.....)).),(((...)(.....)).),(?(...)?????????),undesignable,0.0288,1,['(.(*).........)']
(.((....).(*))),(.((....).(...))),(?????????(...)?),undesignable,2.0241,1,['(.(.......(*)))']
((...).((*))..),((...).((...))..),(???????(...)???),undesignable,18.604,1,['(......((*))..)']
(...(((*).)..)),(...(((...).)..)),(?????(...)?????),undesignable,0.0097,1,['(.....(*).....)']
(.((*)((*)..)).),(.((...)((...)..)).),(??(...)?(...)?????),undesignable,0.2115,1,['(.((*).(*)...).)']
(.....((*).).),(.....((...).).),(??????(...)???),undesignable,0.0186,1,['(......(*)...)']
(((((*))(*)))(*)),(((((...))(...)))(...)),(???(...)?(...)??(...)),undesignable,0.8776,1,['(..((*))(*)..(*))']
((((*)(...).))),((((...)(...).))),(??(...)????????),undesignable,1.4251,1,['((((*)......)))']
(.....((*)...)),(.....((...)...)),(??????(...)????),undesignable,0.0016,1,['(......(*)....)']
(((...).(*))..),(((...).(...))..),(???????(...)???),undesignable,0.4586,1,['(.......(*)...)']
(.(*).(.....)),(.(...).(.....)),(?(...)????????),undesignable,1.048,5,"['(.(*)........)', '(((*)).......)', '(((*).)......)', '(((*).......))', '(.(*)(......))']"
(.(..((*)))..),(.(..((...)))..),(?????(...)????),undesignable,1.115,1,['(....((*))...)']
((.(...))(*)(*)),((.(...))(...)(...)),(????????(...)(...)),undesignable,0.0333,1,['(........(*)(*))']
(..((*)..)),(..((...)..)),(???(...)???),undesignable,0.0015,1,['(...(*)...)']
((.(*)(....)).),((.(...)(....)).),(??(...)????????),undesignable,2.1781,2,"['(..(*)........)', '((((*)).....).)']"
(((...).((*)))),(((...).((...)))),(????????(...)??),undesignable,1.4325,1,['((......((*))))']
((((*)..)....)),((((...)..)....)),(??(...)????????),undesignable,0.0773,1,['((.(*).......))']
(.(*)(...(*)).),(.(...)(...(...)).),(?(...)????(...)??),undesignable,0.0016,1,['(.(*)....(*)..)']
(..(*).((*)(*).)),(..(...).((...)(...).)),(??(...)??(...)(...)??),undesignable,0.0018,1,['(..(*)..(*)(*)..)']
(((...).)....),(((...).)....),(????????????),undesignable,0.0179,1,['(............)']
((*)(....).),((...)(....).),((...)???????),undesignable,0.0762,1,['((*).......)']
((....)....(*)),((....)....(...)),(??????????(...)),undesignable,0.3053,1,['(..........(*))']
(...(...)),(...(...)),(????????),undesignable,0.0032,1,['(........)']
(.(.(*)(...))),(.(.(...)(...))),(???(...)??????),undesignable,0.4651,1,['(...(*)......)']
(((*).(...)..)),(((...).(...)..)),(?(...)?????????),undesignable,2.88,1,['(((*)........))']
(..(...)),(..(...)),(???????),undesignable,0.004,1,['(.......)']
((.(*)(...))..),((.(...)(...))..),(??(...)????????),undesignable,0.482,1,['(..(*)........)']
((*)(((...)).)),((...)(((...)).)),((...)??????????),undesignable,0.1924,2,"['((*)..........)', '((*).((...))..)']"
((*)...(...).),((...)...(...).),((...)?????????),undesignable,0.3108,1,['((*).........)']
(..(...)(...)),(..(...)(...)),(????????????),undesignable,4.6606,1,['(............)']
(.(((...).)).),(.(((...).)).),(????????????),undesignable,1.2407,1,['(.((......)).)']
(....(...)...),(....(...)...),(????????????),undesignable,0.187,1,['(............)']
(.(*).(..(*))),(.(...).(..(...))),(?(...)????(...)?),undesignable,0.0017,1,['(.(*)....(*).)']
(.(*)((*)..)..),(.(...)((...)..)..),(?(...)?(...)?????),undesignable,0.0016,1,['(.(*).(*).....)']
(.(.(...))(*)),(.(.(...))(...)),(?????????(...)),undesignable,0.115,1,['(.........(*))']
((..(((*))))..),((..(((...))))..),(?????(...)?????),undesignable,0.2933,1,['(...(((*)))...)']
((.(*)).(...).),((.(...)).(...).),(??(...)????????),undesignable,1.9016,1,['(..(*)........)']
((...(...).)),((...(...).)),(???????????),undesignable,1.1786,1,['((.........))']
(...((...)(*))),(...((...)(...))),(?????????(...)?),undesignable,0.1181,1,['(.........(*).)']
(...(...)..),(...(...)..),(??????????),undesignable,0.1869,1,['(..........)']
(..(.((*))(*).)),(..(.((...))(...).)),(?????(...)?(...)??),undesignable,0.7496,1,['(....((*))(*)..)']
((*)(.(.(*))).),((...)(.(.(...))).),((...)????(...)???),undesignable,0.0815,2,"['((*)....(*)...)', '((*)..(.(*).).)']"
(((...)..(*))),(((...)..(...))),(????????(...)?),undesignable,1.9234,1,['((.......(*)))']
(.....((*)..)),(.....((...)..)),(??????(...)???),undesignable,0.0013,1,['(......(*)...)']
(..(*)((*)(*))(*)),(..(...)((...)(...))(...)),(??(...)?(...)(...)?(...)),undesignable,0.0039,1,['(..(*).(*)(*).(*))']
((..((*)))....),((..((...)))....),(????(...)??????),undesignable,0.012,1,['(...((*)).....)']
((..(....))),((..(....))),(??????????),undesignable,0.3208,1,['((........))']
(.(.(((*).).))),(.(.(((...).).))),(?????(...)?????),undesignable,29.8729,15,"['(.....(*).....)', '(.(..((*).)..))', '(((.(((*))).)))', '(((.(.(*))..)))', '(((.(.(*).).)))', '(((..((*))..)))', '(((...(*)...)))', '((..(((*))).).)', '((..(((*)))..))', '((..(.(*).)..))', '(.(.(((*))).).)', '(.(..((*))..).)', '(...(((*)))...)', '(.((.((*).).)))', '(.(.(((*).)).))']"
((.(..(*))(*)).),((.(..(...))(...)).),(?????(...)?(...)??),undesignable,0.1792,1,['(.....(*).(*)..)']
((..((*)(*)).).),((..((...)(...)).).),(????(...)(...)????),undesignable,0.73,1,['(....(*)(*)....)']
(.(.((...).))),(.(.((...).))),(????????????),undesignable,0.107,1,['(............)']
(....(..(*)(*))),(....(..(...)(...))),(???????(...)(...)?),undesignable,0.0017,1,['(.......(*)(*).)']
((.(..(*))).),((.(..(...))).),(?????(...)???),undesignable,0.0074,1,['(.....(*)...)']
(.....(..(*)).),(.....(..(...)).),(????????(...)??),undesignable,0.0187,1,['(........(*)..)']
((((*))(*))(*)..),((((...))(...))(...)..),(??(...)?(...)?(...)??),undesignable,0.0194,1,['(..(*).(*).(*)..)']
((...((*)..)).),((...((...)..)).),(?????(...)?????),undesignable,0.0076,1,['(.....(*).....)']
(.((.(*))..)..),(.((.(...))..)..),(????(...)??????),undesignable,0.11,1,['(....(*)......)']
(...(...)...),(...(...)...),(???????????),undesignable,0.1826,1,['(...........)']
((.(*)(*)).(*)),((.(...)(...)).(...)),(??(...)(...)??(...)),undesignable,0.0018,1,['(..(*)(*)..(*))']
(.....(...)..),(.....(...)..),(????????????),undesignable,0.1895,1,['(............)']
((...)(...(*))),((...)(...(...))),(?????????(...)?),undesignable,0.1166,1,['(.........(*).)']
((.(*))..(...)),((.(...))..(...)),(??(...)????????),undesignable,1.9104,1,['(..(*)........)']
(.(...((*).))),(.(...((...).))),(??????(...)???),undesignable,0.0119,1,['(.(....(*)..))']
(((....)....)),(((....)....)),(????????????),undesignable,0.2045,1,['((..........))']
(..(((*))..(*))),(..(((...))..(...))),(????(...)???(...)?),undesignable,0.4112,1,['(...((*))..(*).)']
(((*))(...).),(((...))(...).),(?(...)???????),undesignable,0.409,1,['(((*))......)']
((.....)..(*)),((.....)..(...)),(?????????(...)),undesignable,0.0185,1,['(.........(*))']
(...(.......)),(...(.......)),(????????????),undesignable,0.001,1,['(............)']
((...).(*)(*).),((...).(...)(...).),(??????(...)(...)?),undesignable,0.0037,1,['(......(*)(*).)']
((...)(*)....),((...)(...)....),(?????(...)????),undesignable,0.075,1,['(.....(*)....)']
(...(*)(...)(*)),(...(...)(...)(...)),(???(...)?????(...)),undesignable,0.0058,1,['(...(*).....(*))']
(..(*)((...).)),(..(...)((...).)),(??(...)????????),undesignable,0.4632,1,['(..(*)........)']
((*)((.(*).)..)),((...)((.(...).)..)),((...)???(...)?????),undesignable,0.046,1,['((*)...(*).....)']
((((*).).)((*))),((((...).).)((...))),(??(...)?????(...)?),undesignable,0.8523,1,['(..(*)....((*)))']
((....)(..(*))),((....)(..(...))),(?????????(...)?),undesignable,0.4566,1,['(.........(*).)']
(((...)(*)..).),(((...)(...)..).),(??????(...)????),undesignable,1.8204,1,['(......(*)....)']
(.((*)(*))(...)),(.((...)(...))(...)),(??(...)(...)??????),undesignable,0.7336,1,['(..(*)(*)......)']
((.....)..),((.....)..),(?????????),undesignable,0.001,1,['(.........)']
(.(...(...))),(.(...(...))),(???????????),undesignable,0.0184,1,['(...........)']
((*).(....(*))),((...).(....(...))),((...)??????(...)?),undesignable,0.0016,1,['((*)......(*).)']
(.((...)..)..),(.((...)..)..),(????????????),undesignable,0.2712,1,['(............)']
(.(.....)(*)),(.(.....)(...)),(????????(...)),undesignable,0.0059,1,['(........(*))']
(.((.(*))...).),(.((.(...))...).),(????(...)??????),undesignable,0.0418,1,['(.(..(*)....).)']
(..((.((*))).)),(..((.((...))).)),(??????(...)????),undesignable,0.2125,1,['(...(.((*)))..)']
(..(((*)...).)),(..(((...)...).)),(????(...)??????),undesignable,0.0093,1,['(....(*)......)']
(.(.(...)..)),(.(.(...)..)),(???????????),undesignable,1.1019,1,['(...........)']
((*).(.......)),((...).(.......)),((...)??????????),undesignable,0.0048,1,['((*)..........)']
((.(...).)...),((.(...).)...),(????????????),undesignable,0.2785,1,['(............)']
(....(...)),(....(...)),(?????????),undesignable,0.0033,1,['(.........)']
((...)..(...)),((...)..(...)),(????????????),undesignable,4.6905,1,['(............)']
(..((*))(...).),(..((...))(...).),(???(...)???????),undesignable,20.5209,1,['(..((*))......)']
(.(*).(..(*))..),(.(...).(..(...))..),(?(...)????(...)???),undesignable,0.0012,1,['(.(*)....(*)...)']
((*).(*)(...)),((...).(...)(...)),((...)?(...)?????),undesignable,0.0057,1,['((*).(*).....)']
(((*).).((*)..)),(((...).).((...)..)),(?(...)????(...)???),undesignable,0.1899,1,['(.(*)....(*)...)']
(.((.(*).)...)),(.((.(...).)...)),(????(...)??????),undesignable,0.0417,1,['(..(.(*).)....)']
(..(..(...))),(..(..(...))),(???????????),undesignable,0.0182,1,['(...........)']
(....(.....)),(....(.....)),(???????????),undesignable,0.0011,1,['(...........)']
(((*)(.....))),(((...)(.....))),(?(...)????????),undesignable,0.0641,1,['(((*).......))']
((...).(.(*)).),((...).(.(...)).),(????????(...)??),undesignable,1.8288,1,['(........(*)..)']
(((...(*)).)..),(((...(...)).)..),(?????(...)?????),undesignable,0.0078,1,['(.....(*).....)']
(.(((*)(*))..).),(.(((...)(...))..).),(???(...)(...)?????),undesignable,0.0467,1,['(...(*)(*).....)']
((...)((.(*)))),((...)((.(...)))),(????????(...)??),undesignable,1.0538,1,['(.....((.(*))))']
((.((...).)).),((.((...).)).),(????????????),undesignable,0.1062,1,['(............)']
(((*))(*)(...)),(((...))(...)(...)),(?(...)?(...)?????),undesignable,0.7438,1,['(((*))(*).....)']
(.(.(*))......),(.(.(...))......),(???(...)???????),undesignable,0.0179,1,['(...(*).......)']
(..((((*)).).)),(..((((...)).).)),(?????(...)?????),undesignable,0.119,1,['(....((*))....)']
((((...)..)).),((((...)..)).),(????????????),undesignable,0.1691,1,['(((.......)).)']
((..(*))......),((..(...))......),(???(...)???????),undesignable,0.0015,1,['(...(*).......)']
(.((..(...)))),(.((..(...)))),(????????????),undesignable,0.173,1,['(.((.......)))']
((...(*).).),((...(...).).),(????(...)???),undesignable,0.0224,1,['(....(*)...)']
((*)(*).(...).),((...)(...).(...).),((...)(...)???????),undesignable,0.0029,1,['((*)(*).......)']
(((((*).).)(*))),(((((...).).)(...))),(???(...)????(...)?),undesignable,0.8022,1,['((..(*)....(*)))']
((((.(*))...))),((((.(...))...))),(????(...)??????),undesignable,0.684,1,['(((..(*)....)))']
((...(..(*))).),((...(..(...))).),(???????(...)???),undesignable,0.0074,1,['(.......(*)...)']
(.(..((*).)).),(.(..((...).)).),(?????(...)????),undesignable,0.0386,1,['(.(...(*)..).)']
(.((*))(...(*))),(.((...))(...(...))),(??(...)?????(...)?),undesignable,0.2961,1,['(.((*))....(*).)']
(.(...(*)).(*).),(.(...(...)).(...).),(?????(...)??(...)?),undesignable,0.0012,1,['(.....(*)..(*).)']
((((...).)).),((((...).)).),(???????????),undesignable,0.637,1,['(((......)).)']
(((..(*))....)),(((..(...))....)),(????(...)??????),undesignable,0.0122,1,['((...(*).....))']
(.((((*)))...)),(.((((...)))...)),(????(...)??????),undesignable,0.649,1,['(..(((*)))....)']
((*)(((*)..)..)),((...)(((...)..)..)),((...)??(...)??????),undesignable,0.0112,1,['((*)..(*)......)']
((.((...))).),((.((...))).),(???????????),undesignable,10.8575,19,"['(...........)', '(((((...)))))', '((.((...)).))', '(.(((...))).)', '(..((...))..)', '(((......)).)', '((.(....).).)', '((........).)', '((((...)))..)', '((.((....))))', '((.(......)))', '(..(((...))))', '(..((.....)))', '(...((....)))', '((.(....)..))', '(..((....)).)', '(..(....)...)', '(..(.....)..)', '(((.....))..)']"
(.(..(...))(*)),(.(..(...))(...)),(??????????(...)),undesignable,0.1191,1,['(..........(*))']
((..(*)....)(*)),((..(...)....)(...)),(???(...)?????(...)),undesignable,0.118,1,['(...(*).....(*))']
(((*))(*)(...).),(((...))(...)(...).),(?(...)?(...)??????),undesignable,1.3521,1,['(((*))(*)......)']
(((.(*))...)),(((.(...))...)),(???(...)?????),undesignable,0.0687,1,['((..(*)....))']
((((*)..)...).),((((...)..)...).),(??(...)????????),undesignable,0.0071,1,['(..(*)........)']
(...(...).),(...(...).),(?????????),undesignable,0.0444,1,['(.........)']
(.(....(...))),(.(....(...))),(????????????),undesignable,0.0187,1,['(............)']
