Motif,Target,Constr,Result,Time (Sec.),N_Rival,Rivals
((*)(*)((*)(*).)),((...)(...)((...)(...).)),((...)(...)?(...)(...)??),undesignable,0.0028,1,['((*)(*).(*)(*)..)']
((.....)(*)..),((.....)(...)..),(???????(...)??),undesignable,0.2961,4,"['(.......(*)..)', '(((.....(*))))', '((.....((*))))', '((......(*).))']"
((*)((....)..)),((...)((....)..)),((...)??????????),undesignable,0.12,1,['((*)..........)']
(((.(*)..)..).),(((.(...)..)..).),(???(...)???????),undesignable,0.2146,5,"['(...(*).......)', '(((.(*)..)...))', '(((((*)).)..).)', '(((((*)))...).)', '((..(*).....).)']"
((*).(*).(...).),((...).(...).(...).),((...)?(...)???????),undesignable,0.0026,1,['((*).(*).......)']
(..((*)...).(*)),(..((...)...).(...)),(???(...)?????(...)),undesignable,0.0015,1,['(...(*).....(*))']
((*)(..(*)(*))(*)),((...)(..(...)(...))(...)),((...)???(...)(...)?(...)),undesignable,0.0028,1,['((*)...(*)(*).(*))']
((.......)(*)),((.......)(...)),(?????????(...)),undesignable,0.0015,1,['(.........(*))']
(((*)(.(*)).).),(((...)(.(...)).).),(?(...)??(...)????),undesignable,5.7765,13,"['(.(*)..(*)....)', '(((*)(.(*))..))', '(((*).((*)).).)', '(((*)..(*)..).)', '(.(*)(.(*))...)', '(((*)(((*)))).)', '(((*)(.(*).)).)', '(((*)(((*))).))', '(((*)(((*).))))', '(((*)(.(*).).))', '(((*))((*))...)', '(((*))((*).)..)', '(((*)).(*)....)']"
((.((*))(*)).(*)),((.((...))(...)).(...)),(???(...)?(...)??(...)),undesignable,0.0524,1,['(...(*).(*)..(*))']
(((*)(*)(*))(*)(*)),(((...)(...)(...))(...)(...)),(?(...)(...)(...)?(...)(...)),undesignable,0.0041,1,['(.(*)(*)(*).(*)(*))']
(((((*)))(*))..),(((((...)))(...))..),(???(...)??(...)???),undesignable,0.6972,1,['(.(((*)))(*)...)']
(.(..(...).)),(.(..(...).)),(???????????),undesignable,1.1611,1,['(...........)']
(.((*)..).(*).),(.((...)..).(...).),(??(...)????(...)?),undesignable,0.0012,1,['(..(*)....(*).)']
((...)(..(*).)),((...)(..(...).)),(????????(...)??),undesignable,1.8836,1,['(........(*)..)']
(.((*)(*))(*).(*)),(.((...)(...))(...).(...)),(??(...)(...)?(...)?(...)),undesignable,0.0027,1,['(..(*)(*).(*).(*))']
(.(((*)((*))).)),(.(((...)((...))).)),(???(...)?(...)????),undesignable,0.7604,1,['(...(*)((*))...)']
((.(..(*))).(*)),((.(..(...))).(...)),(?????(...)???(...)),undesignable,0.0085,1,['(.....(*)...(*))']
((*)((*)(*).(*).)),((...)((...)(...).(...).)),((...)?(...)(...)?(...)??),undesignable,0.0026,1,['((*).(*)(*).(*)..)']
((....).((*).)),((....).((...).)),(????????(...)??),undesignable,11.1802,2,"['(........(*)..)', '(......(((*))))']"
(.((*)...(*))(*)),(.((...)...(...))(...)),(??(...)???(...)?(...)),undesignable,0.0198,1,['(..(*)...(*).(*))']
((.((*).)).(*).),((.((...).)).(...).),(???(...)????(...)?),undesignable,0.0082,1,['(...(*)....(*).)']
(..(...)(*)...),(..(...)(...)...),(???????(...)???),undesignable,1.1802,1,['(.......(*)...)']
(((*)(*)(*))..),(((...)(...)(...))..),(?(...)(...)(...)???),undesignable,0.0029,1,['(.(*)(*)(*)...)']
(((.....)...)),(((.....)...)),(????????????),undesignable,0.0381,1,['((..........))']
(((*).((*)(*).))),(((...).((...)(...).))),(?(...)??(...)(...)???),undesignable,0.0487,1,['(.(*)..(*)(*)...)']
(((*)((*)).).(*)),(((...)((...)).).(...)),(?(...)?(...)????(...)),undesignable,0.0497,1,['(.(*).(*)....(*))']
((....(*).)..),((....(...).)..),(?????(...)????),undesignable,0.0191,1,['(.....(*)....)']
(...(((*))..)),(...(((...))..)),(?????(...)????),undesignable,0.0111,1,['(....((*))...)']
((*).(((*)(*)).)),((...).(((...)(...)).)),((...)???(...)(...)???),undesignable,0.0131,1,['((*)...(*)(*)...)']
(.(.(*)(*)).(*).),(.(.(...)(...)).(...).),(???(...)(...)??(...)?),undesignable,0.0013,1,['(...(*)(*)..(*).)']
(.(*)(*)((*)(*)).),(.(...)(...)((...)(...)).),(?(...)(...)?(...)(...)??),undesignable,0.0027,1,['(.(*)(*).(*)(*)..)']
(((*)(*)(....))),(((...)(...)(....))),(?(...)(...)???????),undesignable,1.4155,1,['(((*)(*)......))']
(.(*)(..(*))(*)),(.(...)(..(...))(...)),(?(...)???(...)?(...)),undesignable,0.0034,1,['(.(*)...(*).(*))']
(.(*)...((*)(*))),(.(...)...((...)(...))),(?(...)????(...)(...)?),undesignable,0.0045,1,['(.(*)....(*)(*).)']
(....(...)(*).),(....(...)(...).),(?????????(...)?),undesignable,0.3028,1,['(.........(*).)']
(......(....)),(......(....)),(????????????),undesignable,0.0123,1,['(............)']
((*).(..(*)(*).)),((...).(..(...)(...).)),((...)????(...)(...)??),undesignable,0.0013,1,['((*)....(*)(*)..)']
((..((*)..))..),((..((...)..))..),(????(...)??????),undesignable,0.0076,1,['(....(*)......)']
(((..(*)).).),(((..(...)).).),(????(...)????),undesignable,0.0076,1,['(....(*)....)']
(..((*)...)),(..((...)...)),(???(...)????),undesignable,0.0015,1,['(...(*)....)']
(.((*)(*)).(*)(*)),(.((...)(...)).(...)(...)),(??(...)(...)??(...)(...)),undesignable,0.0019,1,['(..(*)(*)..(*)(*))']
(((...(*))(*)).),(((...(...))(...)).),(?????(...)?(...)??),undesignable,0.046,1,['(.....(*).(*)..)']
((...(*))(*)),((...(...))(...)),(????(...)?(...)),undesignable,0.0022,1,['(....(*).(*))']
(((*)(..(*)))(*)),(((...)(..(...)))(...)),(?(...)???(...)??(...)),undesignable,0.0716,1,['(.(*)...(*)..(*))']
(((...))(...)),(((...))(...)),(????????????),undesignable,1.769,1,['(............)']
(((*).(*))(*)..),(((...).(...))(...)..),(?(...)?(...)?(...)??),undesignable,0.0035,1,['(.(*).(*).(*)..)']
(.(...)(.(*).)),(.(...)(.(...).)),(????????(...)??),undesignable,1.8095,1,['(........(*)..)']
(((*)(....)..)),(((...)(....)..)),(?(...)?????????),undesignable,2.9543,1,['(((*)........))']
((...(*)).....),((...(...)).....),(????(...)??????),undesignable,0.0048,1,['(....(*)......)']
(((*)(*)(*)(*))(*)),(((...)(...)(...)(...))(...)),(?(...)(...)(...)(...)?(...)),undesignable,0.0041,1,['(.(*)(*)(*)(*).(*))']
(..(*)((*)(*)..)),(..(...)((...)(...)..)),(??(...)?(...)(...)???),undesignable,0.0025,1,['(..(*).(*)(*)...)']
((((*)(*))(*).)),((((...)(...))(...).)),(??(...)(...)?(...)??),undesignable,0.072,1,['(..(*)(*).(*)..)']
